drug_id,drug_name,disease_id,disease_name,edge_name
CHEBI:7915,Pantoprazole,DOID:10017,multiple endocrine neoplasia type 1,biolink:treats
CHEBI:4911,Etoposide,DOID:12177,common variable immunodeficiency,biolink:treats
DRUGBANK:DB00028,Human immunoglobulin G,DOID:12177,common variable immunodeficiency,biolink:treats
CHEBI:16469,Estradiol,DOID:14275,atrophic vulva,biolink:treats
CHEBI:28689,Prasterone,DOID:14275,atrophic vulva,biolink:treats
CHEBI:73275,Ospemifene,DOID:14275,atrophic vulva,biolink:treats
CHEBI:8389,Conjugated estrogens,DOID:14275,atrophic vulva,biolink:treats
RXCUI:2556795,Myfembree Pill,DOID:14275,atrophic vulva,biolink:treats
UNII:8L6LAK9BTR,"Synthetic Conjugated Estrogens, B",DOID:14275,atrophic vulva,biolink:treats
CHEBI:17439,Cyanocobalamin,DOID:3125,multiple endocrine neoplasia,biolink:treats
CHEBI:31934,OMEPRAZOLE SODIUM,DOID:3125,multiple endocrine neoplasia,biolink:treats
CHEBI:3699,Cimetidine,DOID:3125,multiple endocrine neoplasia,biolink:treats
CHEBI:4975,Famotidine,DOID:3125,multiple endocrine neoplasia,biolink:treats
CHEBI:6888,Methylprednisolone,DOID:3125,multiple endocrine neoplasia,biolink:treats
DRUGBANK:DB10553,Peanut,DOID:4378,peanut allergy,biolink:treats
CHEBI:30769,Citric acid,DOID:9169,Wiskott-Aldrich syndrome,biolink:treats
CHEBI:4911,Etoposide,DOID:9169,Wiskott-Aldrich syndrome,biolink:treats
DRUGBANK:DB00028,Human immunoglobulin G,DOID:9169,Wiskott-Aldrich syndrome,biolink:treats
CHEBI:2566,alendronate sodium trihydrate,EFO:0003964,hip fracture,biolink:treats
CHEBI:28918,Epinephrine,EFO:0008380,perceived unattractiveness to mosquitos measurement,biolink:treats
CHEBI:15366,Acetic acid,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:17833,Gentamicin,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:2676,Amoxicillin,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:27902,Tetracycline,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:28971,Ampicillin,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:29103,Potassium cation,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:31368,CEFEPIME HYDROCHLORIDE,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3478,Cefaclor,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3479,Cefadroxil,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3483,CEFAZOLIN SODIUM,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3498,CEFOTAXIME SODIUM,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3501,CEFOXITIN SODIUM,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3508,Ceftazidime,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3514,Ceftriaxone disodium salt hemiheptahydrate,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3515,Cefuroxime,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:3770,CO-TRIMOXAZOLE,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:46081,Fluconazole,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:4735,Edetic acid,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:5100,Flucytosine,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:59936,ciprofloxacin hydrochloride hydrate,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:63598,Levofloxacin,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:6824,Methenamine,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:71415,Nitrofurantoin,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:8310,Polymyxin B,HP:0000010,Recurrent urinary tract infections,biolink:treats
CHEBI:135920,Fesoterodine,HP:0000011,Neurogenic bladder,biolink:treats
CHEBI:144551,Oxybutynin,HP:0000011,Neurogenic bladder,biolink:treats
CHEBI:15544,Alprostadil,HP:0000011,Neurogenic bladder,biolink:treats
CHEBI:16684,Atropine,HP:0000011,Neurogenic bladder,biolink:treats
CHEBI:3084,Bethanechol,HP:0000011,Neurogenic bladder,biolink:treats
DRUGBANK:DB00083,Botulinum toxin type A,HP:0000011,Neurogenic bladder,biolink:treats
CHEBI:3084,Bethanechol,HP:0000016,Urinary retention,biolink:treats
CHEBI:4450,Desmopressin,HP:0000017,Nocturia,biolink:treats
CHEBI:144551,Oxybutynin,HP:0000020,Urinary incontinence,biolink:treats
CHEBI:16684,Atropine,HP:0000020,Urinary incontinence,biolink:treats
CHEBI:36796,duloxetine,HP:0000020,Urinary incontinence,biolink:treats
DRUGBANK:DB00083,Botulinum toxin type A,HP:0000020,Urinary incontinence,biolink:treats
CHEBI:31713,Iothalamic acid,HP:0000023,Inguinal hernia,biolink:treats
CHEBI:4450,Desmopressin,HP:0000103,Polyuria,biolink:treats
CHEBI:16586,Aminocaproic acid,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:3498,CEFOTAXIME SODIUM,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:4846,ERYTHROMYCIN ESTOLATE,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:6888,Methylprednisolone,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:9984,vincaleukoblastine sulfate,HP:0000119,Abnormality of the genitourinary system,biolink:treats
CHEBI:16469,Estradiol,HP:0000132,Menorrhagia,biolink:treats
CHEBI:18420,Magnesium cation,HP:0000132,Menorrhagia,biolink:treats
CHEBI:48669,Tranexamic acid,HP:0000132,Menorrhagia,biolink:treats
CHEBI:4903,Ethinylestradiol,HP:0000132,Menorrhagia,biolink:treats
CHEBI:49544,Chromic cation,HP:0000132,Menorrhagia,biolink:treats
CHEBI:6443,Levonorgestrel,HP:0000132,Menorrhagia,biolink:treats
CHEBI:6710,Meclofenamic acid,HP:0000132,Menorrhagia,biolink:treats
CHEBI:8382,Prednisone,HP:0000132,Menorrhagia,biolink:treats
RXCUI:1119566,ascorbic acid / cholecalciferol / cuprous oxide / folic acid / magnesium oxide / niacin / polysaccharide iron complex / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc oxide Oral Capsule,HP:0000132,Menorrhagia,biolink:treats
RXCUI:1305198,alpha tocopherol / ascorbic acid / biotin / dexpanthenol / ergocalciferol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin K1 Injectable Solution,HP:0000132,Menorrhagia,biolink:treats
RXCUI:2556795,Myfembree Pill,HP:0000132,Menorrhagia,biolink:treats
UNII:P76B05O5V6,Relugolix,HP:0000132,Menorrhagia,biolink:treats
CHEBI:16469,Estradiol,HP:0000134,Female hypogonadism,biolink:treats
DRUGBANK:DB09381,Esterified estrogens,HP:0000134,Female hypogonadism,biolink:treats
CHEBI:4724,Dyclonine,HP:0000155,Oral ulcer,biolink:treats
CHEBI:78540,Apremilast,HP:0000155,Oral ulcer,biolink:treats
CHEBI:3568,Cevimeline,HP:0000217,Xerostomia,biolink:treats
CHEBI:8207,Pilocarpine,HP:0000217,Xerostomia,biolink:treats
CHEBI:59936,ciprofloxacin hydrochloride hydrate,HP:0000224,Hypogeusia,biolink:treats
