target_id,target_name,disease_id,disease_name,edge_name
NCBIGene:55869,hdac8,MONDO:0010471,cornelia de lange syndrome 5,biolink:target_for
NCBIGene:10013,hdac6,MONDO:0010463,"x-linked dominant chondrodysplasia, chassaing-lacombe type",biolink:target_for
NCBIGene:196,ahr,MONDO:0032689,retinitis pigmentosa 85,biolink:target_for
NCBIGene:2099,esr1,MONDO:0014148,estrogen resistance syndrome,biolink:target_for
NCBIGene:2100,esr2,MONDO:0032590,ovarian dysgenesis 8,biolink:target_for
NCBIGene:3757,kcnh2,MONDO:0013367,long qt syndrome 2,biolink:target_for
NCBIGene:3757,kcnh2,MONDO:0012312,short qt syndrome type 1,biolink:target_for
NCBIGene:2064,erbb2,MONDO:0021042,glioma,biolink:target_for
NCBIGene:2064,erbb2,MONDO:0008170,ovarian cancer,biolink:target_for
NCBIGene:2064,erbb2,MONDO:0008903,lung cancer,biolink:target_for
NCBIGene:2064,erbb2,MONDO:0001056,gastric cancer,biolink:target_for
NCBIGene:2064,erbb2,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:2064,erbb2,MONDO:0030399,"visceral neuropathy, familial, 2, autosomal recessive",biolink:target_for
NCBIGene:1956,egfr,MONDO:0008903,lung cancer,biolink:target_for
NCBIGene:1956,egfr,MONDO:0014481,"inflammatory skin and bowel disease, neonatal, 2",biolink:target_for
NCBIGene:1576,cyp3a4,MONDO:0024299,vitamin d-dependent rickets,biolink:target_for
NCBIGene:590,bche,MONDO:0015270,butyrylcholinesterase deficiency,biolink:target_for
NCBIGene:596,bcl2,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:6774,stat3,MONDO:0007818,"hyper-ige recurrent infection syndrome 1, autosomal dominant",biolink:target_for
NCBIGene:6774,stat3,MONDO:0014414,stat3-related early-onset multisystem autoimmune disease,biolink:target_for
NCBIGene:213,alb,MONDO:0014448,"hyperthyroxinemia, familial dysalbuminemic",biolink:target_for
NCBIGene:213,alb,MONDO:0014449,congenital analbuminemia,biolink:target_for
NCBIGene:10203,calcrl,MONDO:0032907,lymphatic malformation 8,biolink:target_for
NCBIGene:2147,f2,MONDO:0013361,congenital prothrombin deficiency,biolink:target_for
NCBIGene:2147,f2,HP:0002140,ischemic stroke,biolink:target_for
NCBIGene:2147,f2,MONDO:0008559,thrombophilia due to thrombin defect,biolink:target_for
