,drug_name,drug_id,target_name,target_id,disease_name,disease_id,knowledge_source_r1,knowledge_source_r2
0,selumetinib,CHEBI:90227,SMC2,NCBIGene:10592,neurofibromatosis 1,DOID:0111253,infores:drugcentral,infores:drugcentral
1,selumetinib,CHEBI:90227,MAP2K2,NCBIGene:5605,neurofibromatosis 1,DOID:0111253,infores:drugcentral,infores:drugcentral
2,selumetinib,CHEBI:90227,SMC1A,NCBIGene:8243,neurofibromatosis 1,DOID:0111253,infores:drugcentral,infores:drugcentral
3,selumetinib,CHEBI:90227,MAP2K1,NCBIGene:5604,neurofibromatosis 1,DOID:0111253,infores:drugcentral,infores:drugcentral
4,selumetinib,CHEBI:90227,MAP2K1,NCBIGene:5604,neurofibromatosis 1,DOID:0111253,infores:disgenet,infores:drugcentral
5,ethinylestradiol,CHEBI:4903,SHBG,NCBIGene:6462,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
6,ethinylestradiol,CHEBI:4903,ESR1,NCBIGene:2099,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
7,drospirenone,CHEBI:50838,NR3C2,NCBIGene:4306,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
8,drospirenone,CHEBI:50838,PGR,NCBIGene:5241,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
9,norethisterone,CHEBI:7627,SHBG,NCBIGene:6462,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
10,norethisterone,CHEBI:7627,PGR,NCBIGene:5241,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
11,norgestimate,CHEBI:50815,ESR1,NCBIGene:2099,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
12,norgestimate,CHEBI:50815,PGR,NCBIGene:5241,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
13,estradiol valerate,CHEBI:16469,ESRRB,NCBIGene:2103,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
14,estradiol valerate,CHEBI:16469,ESR1,NCBIGene:2099,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
15,estradiol valerate,CHEBI:16469,SHBG,NCBIGene:6462,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
16,estradiol valerate,CHEBI:16469,ESRRA,NCBIGene:2101,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
17,ospemifene,CHEBI:73275,ESR1,NCBIGene:2099,atrophic vulva,DOID:14275,infores:drugcentral,infores:drugcentral
18,famotidine,CHEBI:4975,HRH2,NCBIGene:3274,multiple endocrine neoplasia,DOID:3125,infores:drugmechdb,everycure_indication_list
19,rabeprazole,CHEBI:8768,ATP4A,NCBIGene:495,multiple endocrine neoplasia,DOID:3125,infores:drugmechdb,infores:drugcentral
20,pantoprazole,CHEBI:7915,ATP4A,NCBIGene:495,multiple endocrine neoplasia,DOID:3125,infores:drugmechdb,infores:drugcentral
21,cimetidine,CHEBI:3699,HRH2,NCBIGene:3274,multiple endocrine neoplasia,DOID:3125,infores:drugmechdb,infores:drugcentral
22,bethanechol,CHEBI:3084,CHRM2,NCBIGene:1129,Neurogenic bladder,HP:0000011,infores:disgenet,everycure_indication_list
23,bethanechol,CHEBI:3084,CHRM2,NCBIGene:1129,Neurogenic bladder,HP:0000011,infores:drugmechdb,everycure_indication_list
24,bethanechol,CHEBI:3084,CHRM3,NCBIGene:1131,Neurogenic bladder,HP:0000011,infores:drugmechdb,everycure_indication_list
25,oxybutynin,CHEBI:144551,CHRM1,NCBIGene:1128,Neurogenic bladder,HP:0000011,infores:drugmechdb,infores:drugcentral
26,oxybutynin,CHEBI:144551,CHRM2,NCBIGene:1129,Neurogenic bladder,HP:0000011,infores:disgenet,infores:drugcentral
27,oxybutynin,CHEBI:144551,CHRM2,NCBIGene:1129,Neurogenic bladder,HP:0000011,infores:drugmechdb,infores:drugcentral
28,oxybutynin,CHEBI:144551,CHRM3,NCBIGene:1131,Neurogenic bladder,HP:0000011,infores:drugmechdb,infores:drugcentral
29,bethanechol,CHEBI:3084,CHRM2,NCBIGene:1129,Urinary retention,HP:0000016,infores:drugmechdb,infores:drugcentral
30,neostigmine,CHEBI:7514,ACHE,NCBIGene:43,Urinary retention,HP:0000016,infores:drugmechdb,infores:drugcentral
31,desmopressin,CHEBI:4450,AVPR2,NCBIGene:554,Polyuria,HP:0000103,infores:hpo-annotations,infores:drugcentral
32,desmopressin,CHEBI:4450,AVPR2,NCBIGene:554,Polyuria,HP:0000103,infores:drugmechdb,infores:drugcentral
